driver_id,scenerio_id,HV_intention,AV_intention,ego_seq,decision_index
1,1,PREEMPT,YIELD,0,17
1,2,PREEMPT,YIELD,0,21
1,3,YILED,PREEMPT,1,47
1,4,PREEMPT,YIELD,0,10
1,5,PREEMPT,YIELD,0,8
1,6,PREEMPT,YIELD,0,29
1,7,YILED,PREEMPT,1,45
1,8,YILED,PREEMPT,1,37
1,9,YILED,PREEMPT,1,37
1,10,PREEMPT,YIELD,0,48
1,11,PREEMPT,YIELD,0,60
1,12,YILED,PREEMPT,1,56
1,13,PREEMPT,YIELD,0,45
1,14,PREEMPT,YIELD,0,46
1,15,PREEMPT,YIELD,0,50
1,16,YILED,YIELD,1,67
1,17,YILED,PREEMPT,1,50
1,18,YILED,PREEMPT,1,57
2,1,PREEMPT,YIELD,0,22
2,2,PREEMPT,YIELD,0,35
2,3,PREEMPT,YIELD,0,29
2,4,PREEMPT,YIELD,0,7
2,5,PREEMPT,YIELD,0,25
2,6,PREEMPT,YIELD,0,25
2,7,YILED,YIELD,1,52
2,8,YILED,PREEMPT,1,40
2,9,YILED,PREEMPT,1,38
2,10,PREEMPT,YIELD,0,49
2,11,PREEMPT,YIELD,0,60
2,12,PREEMPT,YIELD,0,47
2,13,PREEMPT,YIELD,0,74
2,14,PREEMPT,YIELD,0,42
2,15,PREEMPT,YIELD,0,40
2,16,PREEMPT,YIELD,0,80
2,17,YILED,PREEMPT,1,58
2,18,YILED,PREEMPT,1,60
3,1,PREEMPT,YIELD,0,31
3,2,YILED,PREEMPT,1,36
3,3,YILED,PREEMPT,1,28
3,4,PREEMPT,YIELD,0,4
3,5,PREEMPT,YIELD,0,12
3,6,PREEMPT,YIELD,0,19
3,7,PREEMPT,YIELD,0,15
3,8,YILED,PREEMPT,1,34
3,9,YILED,PREEMPT,1,29
3,10,YILED,YIELD,1,31
3,11,YILED,PREEMPT,1,48
3,12,YILED,PREEMPT,1,38
3,13,PREEMPT,YIELD,0,53
3,14,PREEMPT,YIELD,0,38
3,15,PREEMPT,YIELD,0,35
3,16,YILED,PREEMPT,1,56
3,17,YILED,PREEMPT,1,58
3,18,YILED,PREEMPT,1,35
4,1,PREEMPT,YIELD,0,39
4,2,PREEMPT,PREEMPT,1,30
4,3,YILED,PREEMPT,1,41
4,4,PREEMPT,YIELD,0,36
4,5,PREEMPT,YIELD,0,44
4,6,PREEMPT,YIELD,0,38
4,7,YILED,YIELD,1,42
4,8,YILED,PREEMPT,1,48
4,9,YILED,PREEMPT,1,33
4,10,PREEMPT,YIELD,0,67
4,11,YILED,PREEMPT,1,66
4,12,YILED,PREEMPT,1,45
4,13,PREEMPT,YIELD,0,52
4,14,PREEMPT,YIELD,0,60
4,15,PREEMPT,YIELD,0,42
4,16,YILED,YIELD,1,74
4,17,YILED,PREEMPT,1,29
4,18,YILED,PREEMPT,1,46
5,1,PREEMPT,YIELD,0,-5
5,2,YILED,YIELD,0,-7
5,3,YILED,YIELD,0,11
5,4,PREEMPT,YIELD,0,-2
5,5,PREEMPT,YIELD,0,-14
5,6,YILED,YIELD,0,8
5,7,YILED,YIELD,1,9
5,8,YILED,PREEMPT,1,6
5,9,YILED,PREEMPT,1,8
5,10,YILED,YIELD,1,12
5,11,YILED,YIELD,1,34
5,12,PREEMPT,PREEMPT,1,21
5,13,PREEMPT,YIELD,0,-5
5,14,YILED,YIELD,1,9
5,15,PREEMPT,YIELD,0,30
5,16,PREEMPT,YIELD,0,20
5,17,PREEMPT,YIELD,0,11
5,18,YILED,YIELD,0,18
6,1,PREEMPT,YIELD,0,28
6,2,PREEMPT,YIELD,0,17
6,3,PREEMPT,YIELD,0,-1
6,4,PREEMPT,YIELD,0,0
6,5,PREEMPT,YIELD,0,-13
6,6,YILED,YIELD,0,12
6,7,YILED,PREEMPT,1,34
6,8,YILED,PREEMPT,1,41
6,9,YILED,PREEMPT,1,24
6,10,YILED,YIELD,1,43
6,11,YILED,PREEMPT,1,50
6,12,YILED,PREEMPT,1,40
6,13,PREEMPT,YIELD,0,42
6,14,PREEMPT,YIELD,0,44
6,15,PREEMPT,YIELD,0,48
6,16,YILED,YIELD,1,62
6,17,YILED,PREEMPT,1,55
6,18,YILED,PREEMPT,1,46
